numero,variable,region,surprisal
2,2_Embedd,8,16.51625174143769
2,1_G_Embedd,1,5.288685920151573
2,1_G_Embedd,2,12.538289129953764
2,1_G_Embedd,3,17.439551590786355
2,1_G_Embedd,4,19.637296984151046
2,1_G_Embedd,5,12.031562414378488
2,1_G_Embedd,6,18.959441372168836
2,1_G_Embedd,7,19.96804443356136
2,1_G_Embedd,8,16.921076534311005
2,1_N_Embedd,1,15.009060230889139
2,1_N_Embedd,2,14.070003020591182
2,1_N_Embedd,3,14.272368349437373
2,1_N_Embedd,4,17.25765139457071
2,1_N_Embedd,5,14.454884455097822
2,1_N_Embedd,6,17.298596442693004
2,1_N_Embedd,7,15.620827770669592
2,1_N_Embedd,8,14.447270050765292
2,0_Embedd,1,3.148817042942539
2,0_Embedd,2,11.860323752132002
2,0_Embedd,3,14.837219314246816
2,0_Embedd,4,18.39593525694547
2,0_Embedd,5,12.45637469702715
2,0_Embedd,6,18.818308439990407
2,0_Embedd,7,16.805134959046526
2,0_Embedd,8,14.514078831980337
2,1_N_Embedd,1,7.578543019159644
2,1_N_Embedd,2,11.967111477747004
2,1_N_Embedd,3,14.835324274883414
2,1_N_Embedd,4,18.710247593631077
2,1_N_Embedd,5,10.982765948757184
2,1_N_Embedd,6,18.630125403251952
2,1_N_Embedd,7,17.561086474083773
2,1_N_Embedd,8,17.591381824946108
2,0_Embedd,1,3.2098086287835152
2,0_Embedd,2,12.086875290816707
2,0_Embedd,3,17.439551590786355
2,0_Embedd,4,20.908960633566124
2,0_Embedd,5,11.812598991337873
2,0_Embedd,6,18.90452925104066
2,0_Embedd,7,19.738267029100175
2,0_Embedd,8,17.2624203864712
2,2_Embedd,1,8.846643109773272
2,2_Embedd,2,13.51980788427052
2,2_Embedd,3,14.272368349437373
2,2_Embedd,4,19.776865590655717
2,2_Embedd,5,12.061120554169795
2,2_Embedd,6,17.85890070747328
2,2_Embedd,7,15.543397673066174
2,2_Embedd,8,14.311871692387639
2,1_G_Embedd,1,1.6414629466612276
2,1_G_Embedd,2,11.83092170736235
2,1_G_Embedd,3,14.837219314246816
2,1_G_Embedd,4,18.919639162893287
2,1_G_Embedd,5,12.292262048929974
2,1_G_Embedd,6,18.731424734023705
2,1_G_Embedd,7,17.55081998769203
2,1_G_Embedd,8,14.54835547051546
2,1_G_Embedd,1,11.291485344063492
2,1_G_Embedd,2,12.873867447436632
2,1_G_Embedd,3,15.560203349515701
2,1_G_Embedd,4,17.871108566982283
2,1_G_Embedd,5,17.21549494673468
2,1_G_Embedd,6,12.721051082065323
2,1_G_Embedd,7,15.144491504874512
2,1_G_Embedd,8,16.11963259995493
2,2_Embedd,1,5.7477727443812165
2,2_Embedd,2,12.28341830184576
2,2_Embedd,3,16.665859724293156
2,2_Embedd,4,18.849192113386096
2,2_Embedd,5,15.291940388909419
2,2_Embedd,6,12.799879811661098
2,2_Embedd,7,17.291258033294127
2,2_Embedd,8,16.75593310015841
2,0_Embedd,1,10.997650052156711
2,0_Embedd,2,13.898966562021625
2,0_Embedd,3,15.729993038291763
2,0_Embedd,4,16.558111147144817
2,0_Embedd,5,15.213957359003059
2,0_Embedd,6,20.552806015301428
2,0_Embedd,7,14.48305301284305
2,0_Embedd,8,14.861023930816533
2,1_N_Embedd,1,3.223584438117604
2,1_N_Embedd,2,12.488447112492887
2,1_N_Embedd,3,18.49025398530333
2,1_N_Embedd,4,17.529822748048087
2,1_N_Embedd,5,13.61734246669841
2,1_N_Embedd,6,23.001623052999832
2,1_N_Embedd,7,16.82938264790664
2,1_N_Embedd,8,15.176063915539844
2,0_Embedd,1,8.938008722731439
2,0_Embedd,2,11.638738078504836
2,0_Embedd,3,15.560203349515701
2,0_Embedd,4,18.591921163620174
2,0_Embedd,5,16.412216647671926
2,0_Embedd,6,11.855838436177944
2,0_Embedd,7,15.792002807056255
2,0_Embedd,8,17.003055926310605
2,1_N_Embedd,1,4.654378997153559
2,1_N_Embedd,2,12.137273076804693
2,1_N_Embedd,3,16.665859724293156
2,1_N_Embedd,4,20.089395602604956
2,1_N_Embedd,5,15.450362078463058
2,1_N_Embedd,6,13.547546839477691
2,1_N_Embedd,7,17.440441325457375
2,1_N_Embedd,8,16.897135718812468
2,1_G_Embedd,1,9.190474227176496
2,1_G_Embedd,2,12.29891091569761
2,1_G_Embedd,3,15.729993038291763
2,1_G_Embedd,4,18.5030600591395
2,1_G_Embedd,5,13.600654919134245
2,1_G_Embedd,6,19.21016958508668
2,1_G_Embedd,7,15.439588793030543
2,1_G_Embedd,8,14.617559086922148
2,2_Embedd,1,2.937584885215608
2,2_Embedd,2,12.268003000302487
2,2_Embedd,3,18.49025398530333
2,2_Embedd,4,17.980503437701852
2,2_Embedd,5,14.548373830897226
2,2_Embedd,6,21.599398302743268
2,2_Embedd,7,17.133980318907998
2,2_Embedd,8,15.166468639157722
3,1_N_Head,1,3.0475829315816894
3,1_N_Head,2,15.855020998390673
3,1_N_Head,3,14.82718995251032
3,1_N_Head,4,21.602844130406407
3,1_N_Head,5,13.827715034755808
3,1_N_Head,6,17.08265250695981
3,1_N_Head,7,18.475739036536815
3,1_N_Head,8,15.531848188757595
3,0_Head,1,2.3804654216814614
3,0_Head,2,13.619273935146797
3,0_Head,3,12.4134286390822
3,0_Head,4,19.78560883590214
3,0_Head,5,14.22610965227799
3,0_Head,6,16.212141170000336
3,0_Head,7,17.039963942557154
3,0_Head,8,16.321847996191313
3,2_Head,1,4.055766759469938
3,2_Head,2,16.28887773729033
3,2_Head,3,15.875765388723433
3,2_Head,4,19.200113089480386
3,2_Head,5,5.096127345850223
3,2_Head,6,11.005285668632185
3,2_Head,7,19.50877528930322
3,2_Head,8,14.986547997424285
3,1_G_Head,1,3.9021781077032234
3,1_G_Head,2,13.28992572334815
3,1_G_Head,3,13.284582462709617
3,1_G_Head,4,16.472131571650927
3,1_G_Head,5,4.343212814138688
3,1_G_Head,6,9.568411346690807
3,1_G_Head,7,17.51672163120648
3,1_G_Head,8,16.369997453471196
3,2_Head,1,2.7398192563376886
3,2_Head,2,18.0862049121496
3,2_Head,3,29.056147659471534
3,2_Head,4,19.595382417054726
3,2_Head,5,14.15459417814824
3,2_Head,6,17.126946086374627
3,2_Head,7,17.157431741425622
3,2_Head,8,15.756251012063869
3,1_G_Head,1,3.323766986952308
3,1_G_Head,2,13.601129775146036
3,1_G_Head,3,22.084813195936718
3,1_G_Head,4,19.025139076561963
3,1_G_Head,5,14.211567414301728
3,1_G_Head,6,16.243629775899326
3,1_G_Head,7,17.014651221196296
3,1_G_Head,8,15.041228004168586
3,1_N_Head,1,2.71081806004212
3,1_N_Head,2,17.464313955740966
3,1_N_Head,3,31.20471782435488
3,1_N_Head,4,15.946791991808801
3,1_N_Head,5,3.240266099217802
3,1_N_Head,6,10.527207538444582
3,1_N_Head,7,17.500203614363702
3,1_N_Head,8,15.28781350553326
3,0_Head,1,4.1953497046812736
3,0_Head,2,13.304220964619397
3,0_Head,3,23.20460564565794
3,0_Head,4,15.430819445706158
3,0_Head,5,3.247078566686463
3,0_Head,6,9.576429199447297
3,0_Head,7,17.35406896327202
3,0_Head,8,15.2007889428903
3,0_Head,1,1.8315154797700837
3,0_Head,2,14.62273981532465
3,0_Head,3,13.248248178483532
3,0_Head,4,14.736770636341033
3,0_Head,5,19.717403737091015
3,0_Head,6,17.678002563374257
3,0_Head,7,10.735931575155995
3,0_Head,8,17.567731338468274
3,1_N_Head,1,2.1780050701192013
3,1_N_Head,2,13.45804093872839
3,1_N_Head,3,9.809428372318111
3,1_N_Head,4,13.74067049667635
3,1_N_Head,5,19.32945158191372
3,1_N_Head,6,17.145161571005296
3,1_N_Head,7,12.571072500947407
3,1_N_Head,8,17.730003022278304
3,1_G_Head,1,1.3792385190358791
3,1_G_Head,2,14.445020573708236
3,1_G_Head,3,14.26253106603315
3,1_G_Head,4,16.003394973348705
3,1_G_Head,5,4.8866889551798955
3,1_G_Head,6,12.397852108461901
3,1_G_Head,7,11.153910150413418
3,1_G_Head,8,17.067322604745925
3,2_Head,1,2.003640043476772
3,2_Head,2,13.306377456753166
3,2_Head,3,10.480935738929547
3,2_Head,4,14.535575276000403
3,2_Head,5,4.739834478298059
3,2_Head,6,10.666121550296106
3,2_Head,7,13.782676349567275
3,2_Head,8,17.48257545710149
3,1_G_Head,1,1.4414683462206368
3,1_G_Head,2,15.44993398256216
3,1_G_Head,3,29.147313819094588
3,1_G_Head,4,13.364658833592376
3,1_G_Head,5,20.473806687819955
3,1_G_Head,6,17.30529227294618
3,1_G_Head,7,10.785200213917868
3,1_G_Head,8,18.014968675649644
3,2_Head,1,2.2905215188575094
3,2_Head,2,12.88699202530445
3,2_Head,3,22.371019108440027
3,2_Head,4,13.336578708000399
3,2_Head,5,20.039285139117375
3,2_Head,6,17.3547262691342
3,2_Head,7,10.879404566673411
3,2_Head,8,18.923141028302712
3,0_Head,1,1.404778833917397
3,0_Head,2,15.425000841000951
3,0_Head,3,29.835716804044566
3,0_Head,4,14.78987091012086
3,0_Head,5,5.095142800250299
3,0_Head,6,11.236191433764033
3,0_Head,7,12.641801150069902
3,0_Head,8,18.19218983799136
3,1_N_Head,1,2.413217351665803
3,1_N_Head,2,12.885704972833471
3,1_N_Head,3,22.293071517498085
3,1_N_Head,4,14.357680309380791
3,1_N_Head,5,4.770508725212125
3,1_N_Head,6,10.720162037891715
3,1_N_Head,7,12.833744956715918
3,1_N_Head,8,18.17594043966036
3,2_Embedd,1,4.055766759469938
3,2_Embedd,2,16.28887773729033
3,2_Embedd,3,15.875765388723433
3,2_Embedd,4,19.200113089480386
3,2_Embedd,5,5.096127345850223
3,2_Embedd,6,11.005285668632185
3,2_Embedd,7,19.50877528930322
3,2_Embedd,8,14.986547997424285
3,1_G_Embedd,1,3.9021781077032234
3,1_G_Embedd,2,13.28992572334815
3,1_G_Embedd,3,13.284582462709617
3,1_G_Embedd,4,16.472131571650927
3,1_G_Embedd,5,4.343212814138688
3,1_G_Embedd,6,9.568411346690807
3,1_G_Embedd,7,17.51672163120648
3,1_G_Embedd,8,16.369997453471196
3,1_N_Embedd,1,2.949360666535548
3,1_N_Embedd,2,14.897327587940328
3,1_N_Embedd,3,16.785300691292097
3,1_N_Embedd,4,18.11465421425671
3,1_N_Embedd,5,5.389317667391968
3,1_N_Embedd,6,13.880597503571025
3,1_N_Embedd,7,18.268024123756415
3,1_N_Embedd,8,15.676187793330257
3,0_Embedd,1,2.6692350386339667
3,0_Embedd,2,12.774038590466722
3,0_Embedd,3,15.340236291351545
3,0_Embedd,4,15.657321826172351
3,0_Embedd,5,4.245629914423891
3,0_Embedd,6,13.113654808225514
3,0_Embedd,7,17.16890184184073
3,0_Embedd,8,16.123548627884894
3,1_N_Embedd,1,2.71081806004212
3,1_N_Embedd,2,17.464313955740966
3,1_N_Embedd,3,31.20471782435488
3,1_N_Embedd,4,15.946791991808801
3,1_N_Embedd,5,3.240266099217802
3,1_N_Embedd,6,10.527207538444582
3,1_N_Embedd,7,17.500203614363702
3,1_N_Embedd,8,15.28781350553326
3,0_Embedd,1,4.1953497046812736
3,0_Embedd,2,13.304220964619397
3,0_Embedd,3,23.20460564565794
3,0_Embedd,4,15.430819445706158
3,0_Embedd,5,3.247078566686463
3,0_Embedd,6,9.576429199447297
3,0_Embedd,7,17.35406896327202
3,0_Embedd,8,15.2007889428903
3,2_Embedd,1,1.831817738141401
3,2_Embedd,2,18.100498046985276
3,2_Embedd,3,31.805610138661763
3,2_Embedd,4,16.155524470926117
3,2_Embedd,5,4.627996091675645
3,2_Embedd,6,12.292282793461657
3,2_Embedd,7,18.01138109606023
3,2_Embedd,8,15.058813196252544
3,1_G_Embedd,1,2.896001041643813
3,1_G_Embedd,2,12.757526704344595
3,1_G_Embedd,3,23.764833898140232
3,1_G_Embedd,4,15.44499107416544
3,1_G_Embedd,5,4.050530094587854
3,1_G_Embedd,6,12.75311996952427
3,1_G_Embedd,7,17.438607511382624
3,1_G_Embedd,8,15.638549847590074
3,1_G_Embedd,1,4.533182310565961
3,1_G_Embedd,2,15.945111714640415
3,1_G_Embedd,3,16.489640737235806
3,1_G_Embedd,4,17.956832836574065
3,1_G_Embedd,5,10.442771793482358
3,1_G_Embedd,6,12.125918520512473
3,1_G_Embedd,7,20.189302171517692
3,1_G_Embedd,8,15.815649754799528
3,2_Embedd,1,4.04293977193634
3,2_Embedd,2,13.083236603560943
3,2_Embedd,3,12.860469724777914
3,2_Embedd,4,15.437444408434844
3,2_Embedd,5,11.570432354554566
3,2_Embedd,6,11.223082294010466
3,2_Embedd,7,18.87964203091975
3,2_Embedd,8,16.388524750612888
3,0_Embedd,1,5.712172801146832
3,0_Embedd,2,15.293894407179739
3,0_Embedd,3,16.230598766012903
3,0_Embedd,4,18.173880796779052
3,0_Embedd,5,12.194789968516545
3,0_Embedd,6,14.39108353435532
3,0_Embedd,7,20.03185337060982
3,0_Embedd,8,14.533052152644277
3,1_N_Embedd,1,4.4926734099598935
3,1_N_Embedd,2,11.974410429645253
3,1_N_Embedd,3,12.934027618726777
3,1_N_Embedd,4,15.418494705979969
